!!<TOTAL_WINDOWS>!!|18745
ab|127
absolute|185
lebanon|peace|26
louis|156
louis|philadelphia|29
louis|pittsburgh|35
louis|pp|9
louis|rangers|24
louis|winnipeg|17
mac|599
macintosh|166
macintosh|map|19
macintosh|monitor|35
macintosh|motif|16
macintosh|os|11
macintosh|patch|18
macintosh|printer|20
macintosh|probe|8
macintosh|ram|26
macintosh|remote|19
macintosh|satellite|9
macintosh|saturn|3
macintosh|toolkit|17
macintosh|vga|10
macintosh|video|25
mac|macintosh|67
mac|microsoft|25
mac|monitor|74
mac|os|24
mac|pc|121
mac|port|63
mac|printer|40
mac|processing|26
mac|ram|55
mac|shipping|20
mac|simm|32
mac|vga|26
mac|video|59
mac|windows|57
mac|workstation|29
manual|465
manual|microsoft|36
manual|module|21
manual|plant|3
manual|print|49
manual|printer|40
manual|sale|92
manual|shipping|47
manual|thanks|114
manual|water|6
map|212
map|probe|12
map|remote|13
map|satellite|22
map|saturn|7
marriage|110
marriage|moral|19
marriage|morality|1
marriage|muslims|7
marriage|nazi|5
marriage|objective|3
marriage|rights|14
marriage|scripture|13
marriage|truth|12
marry|109
marry|sexual|21
marry|witness|16
mass|321
massacre|163
massacre|muslim|55
massacre|people|118
massacre|say|85
massacre|troops|58
massacre|turkish|80
massacre|turks|80
massacre|walk|11
massacre|woman|64
mass|nuclear|22
mass|physical|16
mass|ship|12
mass|theory|19
mass|universe|16
mass|war|34
mb|241
mb|md|13
mb|meg|16
mb|mg|9
mb|mhz|38
mb|mi|9
mb|mw|7
mb|pc|53
mb|pl|4
mb|scsi|34
mb|scsus|24
mb|sl|9
mb|spec|11
mb|thanks|68
mb|wm|6
md|128
md|mg|9
md|mi|10
md|mouse|6
md|mw|9
md|patient|17
md|pl|6
md|sl|8
md|thanks|22
md|trial|10
md|washington|18
md|wm|4
meg|227
meg|mhz|16
meg|modem|20
meg|motherboard|32
meg|pc|43
meg|port|17
meg|quadra|12
meg|scsi|30
meg|scsus|21
meg|simm|28
meg|spec|16
meg|vga|21
meg|video|39
menu|142
menu|microsoft|20
menu|mouse|29
menu|screen|39
menu|swap|9
menu|visual|12
menu|widget|24
menu|window|54
menu|windows|57
menu|xt|12
merely|317
merely|police|19
merely|training|12
mg|47
mg|mi|10
mg|mr|10
mg|mw|9
mg|pd|6
mg|pl|6
mg|rg|3
mg|sl|9
mg|thanks|5
mg|wm|5
mhz|178
mhz|modem|11
mhz|motherboard|44
mhz|pc|26
mhz|port|23
mhz|quadra|12
mhz|ram|39
mhz|scsi|18
mhz|scsus|13
mhz|simm|10
mhz|slot|22
mhz|spec|10
mhz|vga|14
mhz|video|44
mi|103
microsoft|217
microsoft|mouse|45
microsoft|port|30
microsoft|print|16
microsoft|printer|20
microsoft|ram|29
microsoft|sale|19
microsoft|screen|31
microsoft|shipping|12
microsoft|simm|1
microsoft|swap|10
microsoft|thanks|55
microsoft|vga|19
microsoft|window|77
microsoft|windows|138
militia|65
militia|sentence|8
mi|mw|9
mi|pl|6
mi|sl|8
mi|thanks|22
mi|wm|5
modem|300
modem|motherboard|13
modem|port|78
modem|printer|26
modem|ram|22
modem|simm|5
modem|slot|7
modem|upgrade|27
modem|vga|19
modem|video|26
modem|windows|44
module|100
module|plant|1
module|water|2
mon|80
monitor|536
monitor|motherboard|34
monitor|os|16
monitor|printer|28
monitor|ram|87
monitor|sale|57
monitor|shipping|23
monitor|thanks|150
monitor|vga|71
monitor|video|134
mon|nj|12
mon|pit|18
mon|pitcher|4
mon|que|23
mon|tor|24
mon|van|21
mon|vs|11
moral|350
morality|164
morality|murder|33
morality|objective|59
morality|scripture|4
morality|sex|9
morality|truth|29
moral|morality|88
moral|murder|48
moral|objective|52
moral|scripture|15
moral|sex|33
moral|truth|55
motherboard|215
motherboard|port|27
motherboard|quadra|16
motherboard|ram|64
motherboard|sale|19
motherboard|scsi|35
motherboard|scsus|14
motherboard|shipping|7
motherboard|simm|30
motherboard|slot|35
motherboard|thanks|76
motherboard|vga|15
motherboard|video|31
motif|174
motif|patch|29
motif|toolkit|31
mouse|258
mouse|patient|1
mouse|ride|1
mouse|screen|53
mouse|swap|10
mouse|trial|5
mouse|washington|7
mouse|window|95
mouse|windows|70
mr|100
mr|mw|9
mr|pd|6
mr|pl|6
mr|rg|3
mr|thanks|10
msg|76
murder|366
murder|objective|34
murder|sex|12
muslim|263
muslims|194
muslims|nazi|21
muslims|rights|30
muslims|turkey|28
muslim|turkish|90
muslim|turks|85
mw|21
mw|pd|5
mw|pl|6
mw|rg|3
mw|sl|7
mw|thanks|2
mw|wm|5
myers|37
myers|package|2
myers|president|6
myers|resolution|5
nazi|130
nazi|rights|18
nazi|turkey|7
network|571
network|ripem|6
network|rsa|10
network|unix|64
nhl|203
nhl|player|102
nhl|roger|17
nhl|team|122
nj|146
nj|pit|24
nj|que|22
nj|tor|23
nj|van|30
nj|vs|7
nuclear|132
nuclear|physical|5
nuclear|ship|5
nuclear|theory|11
nuclear|universe|5
nuclear|war|27
null|74
null|output|12
null|postscript|7
null|program|23
objective|239
objective|scripture|12
objective|sex|11
objective|truth|32
offense|126
offense|pitch|32
offense|pitcher|21
offense|staff|15
os|163
os|printer|9
os|ram|13
os|vga|5
os|video|9
outlet|55
outlet|voltage|3
output|344
output|postscript|34
output|program|82
package|474
package|president|26
package|resolution|28
passage|184
passage|people|116
passage|prophecy|18
passage|prophet|23
passage|punishment|21
passage|verse|36
patch|144
patch|toolkit|20
patient|211
patient|trial|23
patient|washington|11
pc|666
pc|processing|38
pc|scsi|50
pc|scsus|46
pc|shipping|40
pc|spec|36
pc|workstation|48
pd|116
pd|pl|4
pd|rg|2
pd|thanks|29
peace|401
penalty|172
penalty|playoff|33
penalty|puck|27
penalty|score|39
penalty|season|23
penalty|slot|11
people|4170
people|prophecy|46
people|prophet|72
people|punishment|113
people|say|2090
people|troops|126
people|verse|80
people|walk|164
people|woman|328
philadelphia|129
philadelphia|pittsburgh|32
philadelphia|pp|8
philadelphia|rangers|23
philadelphia|winnipeg|12
physical|267
physical|ship|8
physical|theory|23
physical|universe|27
physical|war|14
pit|76
pitch|249
pitcher|182
pitcher|staff|19
pitcher|van|2
pitcher|vs|1
pitch|pitcher|98
pitch|staff|44
pittsburgh|232
pittsburgh|pp|10
pittsburgh|rangers|35
pittsburgh|winnipeg|22
pit|pitcher|1
pit|que|31
pit|tor|29
pit|van|29
pit|vs|8
pl|40
plant|109
plant|water|22
player|656
player|roger|68
player|team|296
playoff|267
playoff|puck|22
playoff|score|60
playoff|season|89
playoff|slot|9
pl|rg|3
pl|sl|5
pl|thanks|8
pl|wm|4
police|436
police|training|24
pope|77
pope|team|3
port|379
port|ram|35
port|simm|7
port|slot|14
port|vga|22
port|video|40
port|windows|68
postscript|120
postscript|program|53
postscript|visual|14
postscript|window|38
postscript|windows|33
postscript|xterm|9
pp|67
pp|rangers|6
pp|winnipeg|7
president|462
president|resolution|18
print|392
printer|259
printer|ram|21
printer|sale|36
printer|shipping|20
printer|thanks|70
printer|upgrade|20
printer|vga|9
printer|video|24
printer|windows|76
print|printer|102
print|sale|38
print|shipping|29
print|thanks|79
probe|94
probe|remote|8
probe|satellite|18
probe|saturn|11
processing|148
processing|shipping|10
processing|workstation|27
professor|123
professor|propose|14
professor|reality|11
professor|scientific|22
professor|virtual|2
professor|vote|1
professor|windows|3
program|1481
prophecy|70
prophecy|prophet|22
prophecy|punishment|2
prophecy|verse|9
prophet|119
prophet|punishment|12
prophet|verse|23
propose|320
propose|reality|27
propose|scientific|35
propose|virtual|6
propose|vote|27
propose|windows|12
pt|50
puck|79
puck|score|30
puck|season|17
puck|slot|12
punishment|183
punishment|verse|12
quadra|119
quadra|scsi|27
quadra|scsus|15
quadra|simm|23
que|74
que|tor|33
que|van|32
que|vs|11
radar|109
radar|rf|5
radar|rocket|10
radar|voltage|2
ram|396
ram|simm|47
ram|slot|35
ram|upgrade|62
ram|vga|36
ram|video|81
ram|windows|94
rangers|170
rangers|stanley|30
rangers|wings|21
rangers|winnipeg|17
reality|288
reality|scientific|28
reality|virtual|35
reality|vote|14
reality|windows|10
rear|174
rear|ride|38
rear|rider|9
rear|saturn|2
rear|turbo|8
religion|605
religion|religious|186
religious|478
remote|209
remote|satellite|15
remote|saturn|1
resolution|241
responsibility|274
responsibility|server|11
responsibility|site|17
responsibility|threat|18
responsibility|unix|7
responsibility|user|21
resurrection|85
resurrection|revelation|10
resurrection|scripture|19
resurrection|son|20
revelation|112
revelation|scripture|37
revelation|son|16
rf|76
rf|rocket|1
rf|voltage|4
rg|11
ride|430
rider|123
rider|turbo|1
ride|rider|66
ride|saturn|3
ride|screen|1
ride|turbo|8
ride|voltage|1
rights|578
rights|turkey|23
ripem|22
ripem|rsa|12
ripem|unix|8
rocket|162
rocket|voltage|1
roger|209
roger|team|83
rom|135
rsa|67
rsa|unix|9
sale|662
sale|shipping|121
sale|thanks|94
satellite|170
satellite|saturn|14
saturn|59
saturn|turbo|2
say|5326
say|troops|117
say|walk|204
say|woman|317
scientific|267
scientific|virtual|14
scientific|vote|8
scientific|windows|13
score|361
score|season|72
score|slot|10
screen|474
screen|swap|19
screen|visual|24
screen|voltage|9
screen|widget|23
screen|window|140
screen|windows|122
screen|xt|14
scripture|194
scripture|son|39
scripture|truth|52
scsi|228
scsi|scsus|90
scsi|simm|9
scsi|spec|18
scsus|129
scsus|simm|3
scsus|spec|15
season|439
season|slot|9
sentence|181
serial|295
serial|session|30
serial|warrant|16
serial|wiretap|22
server|375
server|site|54
server|threat|4
server|unix|78
server|user|90
session|180
session|warrant|18
session|wiretap|19
sex|220
sexual|217
sexual|witness|16
ship|263
shipping|266
shipping|thanks|44
shipping|workstation|8
ship|theory|2
ship|universe|4
ship|war|21
simm|126
simm|slot|22
simm|vga|4
simm|video|17
simm|windows|6
sin|301
site|489
site|threat|12
site|unix|64
site|user|92
sl|31
slot|160
slot|vga|7
slot|video|34
sl|thanks|1
sl|wm|5
son|310
spec|215
staff|172
stanley|161
stanley|wings|20
swap|126
swap|window|35
swap|windows|41
team|873
thanks|2782
thanks|wm|2
theory|390
theory|universe|27
theory|war|28
threat|219
threat|unix|7
threat|user|17
toolkit|84
tor|53
tor|van|35
tor|vs|10
training|204
trial|213
trial|washington|17
troops|174
troops|walk|28
troops|woman|59
truth|526
turbo|132
turkey|142
turkish|219
turkish|turks|158
turks|184
universe|226
universe|war|13
unix|352
unix|user|100
upgrade|311
upgrade|windows|66
user|678
van|187
van|vs|11
verse|157
vga|191
vga|video|67
vga|windows|49
video|556
virtual|132
virtual|vote|2
virtual|windows|44
visual|112
visual|widget|17
visual|window|32
visual|windows|26
visual|xt|10
visual|xterm|5
voltage|112
vote|260
vote|windows|5
vs|124
walk|355
walk|woman|49
war|621
warrant|209
warrant|wiretap|26
washington|404
water|329
widget|142
widget|window|62
widget|xt|27
window|984
windows|813
windows|xterm|13
window|windows|280
window|xt|32
window|xterm|55
wings|137
winnipeg|100
wiretap|121
witness|238
wm|29
woman|579
workstation|138
xt|99
xterm|100
